date,ad_id,campaign,fb_campaign_id,age,gender,interest,Impressions,Clicks,Spent,Total_Conversion,Approved_Conversion
2021-01-01,708746,Campanha A,103916,30-34,Homem,15,7350,1,1.429999948,2,1
2021-01-02,708749,Campanha A,103917,30-34,Homem,16,17861,2,1.820000023,2,0
2021-01-03,708771,Campanha A,103920,30-34,Homem,20,693,0,0,1,0
2021-01-04,708815,Campanha A,103928,30-34,Homem,28,4259,1,1.25,1,0
2021-01-05,708818,Campanha A,103928,30-34,Homem,28,4133,1,1.289999962,1,1
2021-01-06,708820,Campanha A,103929,30-34,Homem,29,1915,0,0,1,1
2021-01-07,708889,Campanha A,103940,30-34,Homem,15,15615,3,4.769999981,1,0
2021-01-08,708895,Campanha A,103941,30-34,Homem,16,10951,1,1.269999981,1,1
2021-01-09,708953,Campanha A,103951,30-34,Homem,27,2355,1,1.5,1,0
2021-01-10,708958,Campanha A,103952,30-34,Homem,28,9502,3,3.159999967,1,0
2021-01-11,708979,Campanha A,103955,30-34,Homem,31,1224,0,0,1,0
2021-01-12,709023,Campanha A,103962,30-34,Homem,7,735,0,0,1,0
2021-01-13,709038,Campanha A,103965,30-34,Homem,16,5117,0,0,1,0
2021-01-14,709040,Campanha A,103965,30-34,Homem,16,5120,0,0,1,0
2021-01-15,709059,Campanha A,103968,30-34,Homem,20,14669,7,10.28000021,1,1
2021-01-16,709105,Campanha A,103976,30-34,Homem,28,1241,0,0,1,1
2021-01-17,709115,Campanha A,103978,30-34,Homem,30,2305,1,0.569999993,1,0
2021-01-18,709124,Campanha A,103979,30-34,Homem,31,1024,0,0,1,1
2021-01-19,709179,Campanha A,103988,35-39,Homem,15,4627,1,1.690000057,1,0
2021-01-20,709183,Campanha A,103989,35-39,Homem,16,21026,4,4.630000114,2,1
2021-01-21,709320,Campanha A,104012,35-39,Homem,15,1422,0,0,1,1
2021-01-22,709323,Campanha A,104012,35-39,Homem,15,7132,2,2.609999895,1,0
2021-01-23,709326,Campanha A,104013,35-39,Homem,16,12190,2,3.049999952,1,0
2021-01-24,709327,Campanha A,104013,35-39,Homem,16,12193,2,3.059999943,1,1
2021-01-25,709328,Campanha A,104013,35-39,Homem,16,3332,0,0,1,1
2021-01-26,709455,Campanha A,104034,35-39,Homem,7,559,0,0,1,0
2021-01-27,709544,Campanha A,104049,35-39,Homem,29,7440,2,2.980000019,1,1
2021-01-28,709614,Campanha A,104061,40-44,Homem,16,19113,4,5.5200001,1,0
2021-01-29,709756,Campanha A,104085,40-44,Homem,16,10976,2,1.690000057,1,1
2021-01-30,709761,Campanha A,104085,40-44,Homem,16,2861,0,0,1,0
2021-01-31,709899,Campanha A,104108,40-44,Homem,15,1398,0,0,1,1
2021-02-01,709901,Campanha A,104109,40-44,Homem,16,23817,7,8.470000148,1,1
2021-02-02,710045,Campanha A,104133,45-49,Homem,16,47224,12,15.82000017,1,0
2021-02-03,710088,Campanha A,104140,45-49,Homem,24,2283,1,1.470000029,1,0
2021-02-04,710360,Campanha A,104185,45-49,Homem,21,2182,1,1.529999971,1,1
2021-02-05,710477,Campanha A,104205,30-34,Mulher,16,2654,0,0,1,1
2021-02-06,710480,Campanha A,104205,30-34,Mulher,16,57665,14,18.06999969,1,1
2021-02-07,710571,Campanha A,104220,30-34,Mulher,32,3091,1,1.610000014,1,1
2021-02-08,710617,Campanha A,104228,30-34,Mulher,15,5014,1,1.190000057,1,0
2021-02-09,710623,Campanha A,104229,30-34,Mulher,16,38726,7,9.220000267,1,0
2021-02-10,710628,Campanha A,104230,30-34,Mulher,18,1473,0,0,1,0
2021-02-11,710682,Campanha A,104239,30-34,Mulher,27,1186,0,0,1,0
2021-02-12,710763,Campanha A,104252,30-34,Mulher,15,5369,1,1.50999999,1,0
2021-02-13,710836,Campanha A,104265,30-34,Mulher,29,22221,7,9.430000067,1,1
2021-02-14,710867,Campanha A,104270,30-34,Mulher,63,1185,0,0,1,0
2021-02-15,710880,Campanha A,104272,30-34,Mulher,65,13019,5,6.960000038,1,0
